experiment	step	object	min_words	word_id	markable	image_path
B31-A41-C25-1523029167770	45	block f	None	218	markable_99	images/b31-a41-c25-1523029167770_45.png
B34-A38-C153-1524089941263	96	block a	None	394	markable_202	images/b34-a38-c153-1524089941263_96.png
B34-A38-C153-1524089941263	102	blocks b, d, c	None	422	markable_213	images/b34-a38-c153-1524089941263_102.png
B34-A38-C153-1524089941263	114	block i	None	442	markable_217	images/b34-a38-c153-1524089941263_114.png
B31-A23-C85-1523475031031	14	block a	None	61	markable_37	images/b31-a23-c85-1523475031031_14.png
B31-A23-C85-1523475031031	29	blocks a, b	blocks	136	markable_25	images/b31-a23-c85-1523475031031_29.png
B31-A23-C85-1523475031031	29	blocks e, c	blocks	143	markable_27	images/b31-a23-c85-1523475031031_29.png
B31-A23-C85-1523475031031	24	blocks a, b	None	121	markable_52	images/b31-a23-c85-1523475031031_24.png
B31-A23-C85-1523475031031	21	blocks a, c	None	104	markable_47	images/b31-a23-c85-1523475031031_21.png
B52-A27-C48-1523661970517	20	block a	None	69	markable_121	images/b52-a27-c48-1523661970517_20.png
B52-A27-C48-1523661970517	106	blocks k, i, c, a	None	239	markable_149	images/b52-a27-c48-1523661970517_106.png
B35-A15-C62-1524247870536	45	blocks a, b	None	213	markable_103	images/b35-a15-c62-1524247870536_45.png
B29-A26-C69-1523377912426	100	block a	None	288	markable_161	images/b29-a26-c69-1523377912426_100.png
B29-A26-C69-1523377912426	52	blocks a, b, c	None	135	markable_111	images/b29-a26-c69-1523377912426_52.png
B29-A26-C69-1523377912426	52	blocks g, f, a	None	142	markable_113	images/b29-a26-c69-1523377912426_52.png
B29-A26-C69-1523377912426	45	blocks g, f, a	None	124	markable_109	images/b29-a26-c69-1523377912426_45.png
B29-A26-C69-1523377912426	96	blocks a, h	None	274	markable_156	images/b29-a26-c69-1523377912426_96.png
B44-A20-C35-1523285026757	52	block b	purple	155	markable_32	images/b44-a20-c35-1523285026757_52.png
B44-A20-C35-1523285026757	15	block c	orange	55	markable_20	images/b44-a20-c35-1523285026757_15.png
B44-A20-C35-1523285026757	57	block b	None	184	markable_90	images/b44-a20-c35-1523285026757_57.png
B44-A20-C35-1523285026757	60	block c	None	191	markable_93	images/b44-a20-c35-1523285026757_60.png
B44-A20-C35-1523285026757	26	block c	None	85	markable_58	images/b44-a20-c35-1523285026757_26.png
B29-A26-C62-1523376847005	44	blocks a, g, b, e, i	None	151	markable_95	images/b29-a26-c62-1523376847005_44.png
B37-A46-C33-1523305851116	40	block a	None	174	markable_106	images/b37-a46-c33-1523305851116_40.png
